subject,number
"Political Parties - Liberal Party - Victoria",2
"Citizenship",4
"Flags",1
"Goods and Services Tax",1
"Dangerous dogs",3
"Sport - AFL",5
"Immigration",2
"Schools",1
"Carbon taxes",1
"Transport - Trains",5
"School funding",1
"Drugs in sport",1
"Public opinion polls - Victoria",3
"Coronial enquiries",2
"Music festivals",1
"School speed zones",2
"Industrial disputes",5
"Electricity Prices",1
"Teachers",3
"Law reform",4
"Police - Victoria",1
"Housing - Victoria",2
"Government inaction",2
"Industrial Relations - Victoria",3
"Elections - Australia - Seats",3
"Planning - Melbourne",3
"Cost Of Living - Prices",1
"Traffic congestion",1
"Public transport safety",2
"Cancer",2
"Protective Services Officers",2
"Fire insurance",2
"Budget - Victoria",3
"Elections - Australia - Policies",1
"Liberal Party - Victoria",1
"Drink driving",1
"School fees",1
"Political polling",3
"ALP policy",3
"Sport - National Tennis Centre",1
"Hospitals",1
"Melbourne - City Squares",1
"Property Development - Melbourne",3
"Opposition Leaders",1
"Freedom of speech",1
"Baillieu Government",5
"Journalism",1
"Waste management",2
"Courts",2
"School students",1
"Bushfires",6
"Fire brigades",6
"School terms",3
"Hospital emergency departments",2
"Railway stations",2
"Political correctness",2
"Smoking",2
"Traffic management",1
"Litter",1
"Local Government - Regulations",5
"Andrews, Daniel [Biography]",1
"Public awareness campaigns",1
"Roads - City Link",4
"Court procedures",3
"Road accidents",4
"Transport policy",4
"Yarra River",3
"Teachers - Victoria",2
"Alcohol abuse",4
"Federal State Financial Relations",9
"Men&apos;s health",2
"Children&apos;s health",1
"Hospital funding",7
"Education - Victoria",4
"ALP - Victoria",3
"Baillieu, Ted [Biography]",2
"Emergency services",6
"Roads - Melbourne",2
"Driving offences",1
"Health",1
"Migrants",2
"Transport infrastructure",2
"Governors - Victoria",1
"Liberal Party policy",1
"Local Government - Finance",2
"Aviation - Airports",1
"Health Care - Victoria",8
"Education - Curriculum",1
"Colleges and Universities - TAFE",1
"Drug abuse",9
"Freeways",1
"Children&apos;s courts",2
"Pollution - Victoria",3
"Newspapers",1
